r_1,q_1,x_1,r_2,q_2,x_2,MM,lnPvap,Method,substance_1,substance_2,FP
4.531,3.976,0.4,5.8486,4.936,0.6,109.39,7.069453,1,methyl butyrate,octane,282.25
4.531,3.976,0.4,2.5755,2.588,0.6,64.89,8.572997,1,methyl butyrate,ethanol,280.05
4.531,3.976,0.4,5.8486,4.936,0.6,109.39,7.064222,1,propyl acetate,octane,282.25
4.531,3.976,0.4,2.5755,2.588,0.6,64.89,8.571836,1,propyl acetate,ethanol,280.05
3.9243,3.668,0.4,7.903,6.676,0.6,133.01,6.04,0,butanol,ethyl octanoate,322.59
3.9243,3.668,0.4,9.2518,7.756,0.6,149.84,6.01,0,butanol,ethyl decanoate,322.33
3.9243,3.668,0.4,10.6006,8.836,0.6,166.67,6.01,0,butanol,ethyl laurate,321.36
3.9243,3.668,0.4,11.9494,9.916,0.6,183.5,6.01,0,butanol,ethyl myristate,322.38
3.9243,3.668,0.4,13.2982,10.996,0.6,200.33,6.01,0,butanol,ethyl palmitate,322.64
2.5755,2.588,0.5,5.8486,4.936,0.5,77.15,8.583379,1,ethanol,octane,277.85
4.531,3.976,0.5,5.8486,4.936,0.5,108.18,6.89811,1,methyl butyrate,octane,281.95
4.531,3.976,0.5,2.5755,2.588,0.5,71.1,8.393127,1,methyl butyrate,ethanol,279.85
4.531,3.976,0.5,5.8486,4.936,0.5,108.18,6.890339,1,propyl acetate,octane,281.95
4.531,3.976,0.5,2.5755,2.588,0.5,71.1,8.39139,1,propyl acetate,ethanol,279.85
2.5755,2.588,0.57,8.5462,7.096,0.43,96.08,8.52,0,ethanol,dodecane,289.4
7.2286,6.136,0.6,8.5774,7.216,0.4,169.46,3.64,0,methyl octanoate,methyl decanoate,354.6
7.2286,6.136,0.6,9.9262,8.296,0.4,180.68,3.57,0,methyl octanoate,methyl laurate,357.6
7.2286,6.136,0.6,11.275,9.376,0.4,191.9,3.57,0,methyl octanoate,methyl myristate,357.7
7.2286,6.136,0.6,12.6238,10.456,0.4,203.12,3.57,0,methyl octanoate,methyl palmitate,358.3
7.2286,6.136,0.6,13.9726,11.536,0.4,214.34,3.57,0,methyl octanoate,methyl stearate,357.3
7.2286,6.136,0.6,13.7405,11.323,0.4,213.54,3.57,0,methyl octanoate,methyl oleate,358.5
8.5774,7.216,0.6,9.9262,8.296,0.4,197.51,1.38,0,methyl decanoate,methyl laurate,380.7
8.5774,7.216,0.6,11.275,9.376,0.4,208.73,1.32,0,methyl decanoate,methyl myristate,383.6
8.5774,7.216,0.6,12.6238,10.456,0.4,219.96,1.32,0,methyl decanoate,methyl palmitate,384.0
8.5774,7.216,0.6,13.9726,11.536,0.4,231.18,1.32,0,methyl decanoate,methyl stearate,384.1
8.5774,7.216,0.6,13.7405,11.323,0.4,230.37,1.32,0,methyl decanoate,methyl oleate,385.4
9.9262,8.296,0.6,11.275,9.376,0.4,225.57,-0.88,0,methyl laurate,methyl myristate,403.3
9.9262,8.296,0.6,12.6238,10.456,0.4,236.79,-0.94,0,methyl laurate,methyl palmitate,406.6
9.9262,8.296,0.6,13.9726,11.536,0.4,248.01,-0.94,0,methyl laurate,methyl stearate,407.1
9.9262,8.296,0.6,13.7405,11.323,0.4,247.2,-0.94,0,methyl laurate,methyl oleate,406.9
11.275,9.376,0.6,12.6238,10.456,0.4,253.62,-3.16,0,methyl myristate,methyl palmitate,425.9
11.275,9.376,0.6,13.9726,11.536,0.4,264.84,-3.21,0,methyl myristate,methyl stearate,429.4
11.275,9.376,0.6,13.7405,11.323,0.4,264.03,-3.21,0,methyl myristate,methyl oleate,426.2
12.6238,10.456,0.6,13.9726,11.536,0.4,281.67,-5.44,0,methyl palmitate,methyl stearate,446.3
7.903,6.676,0.6,10.6006,8.836,0.4,194.71,2.57,0,ethyl octanoate,ethyl laurate,364.0
7.903,6.676,0.6,11.9494,9.916,0.4,205.93,2.56,0,ethyl octanoate,ethyl myristate,365.0
7.903,6.676,0.6,13.2982,10.996,0.4,217.15,2.56,0,ethyl octanoate,ethyl palmitate,365.6
7.903,6.676,0.6,14.647,12.076,0.4,228.37,2.56,0,ethyl octanoate,ethyl stearate,366.0
7.903,6.676,0.6,14.4149,11.863,0.4,227.56,2.56,0,ethyl octanoate,ethyl oleate,364.8
7.903,6.676,0.6,14.1828,11.65,0.4,226.76,2.56,0,ethyl octanoate,ethyl linoleate,364.8
9.2518,7.756,0.6,11.9494,9.916,0.4,222.76,0.31,0,ethyl decanoate,ethyl myristate,388.7
9.2518,7.756,0.6,13.2982,10.996,0.4,233.98,0.31,0,ethyl decanoate,ethyl palmitate,390.7
9.2518,7.756,0.6,14.647,12.076,0.4,245.2,0.31,0,ethyl decanoate,ethyl stearate,391.1
9.2518,7.756,0.6,14.4149,11.863,0.4,244.4,0.31,0,ethyl decanoate,ethyl oleate,390.2
9.2518,7.756,0.6,14.1828,11.65,0.4,243.59,0.31,0,ethyl decanoate,ethyl linoleate,390.8
