r_1,x_1,r_2,T,gamma_1,gamma_2
13.9726,0.99,7.1974,618.433,-8e-06,-0.10445981
13.9726,1.0,7.1974,623.518,0.0,-0.106534538
7.1974,0.0,13.9726,623.518,-0.106534538,0.0
7.1974,0.01,13.9726,618.433,-0.10445981,-8e-06
7.1974,0.02,13.9726,612.953,-0.102351713,-3.2001e-05
7.1974,0.03,13.9726,607.325,-0.100234786,-7.2003e-05
7.1974,0.04,13.9726,601.666,-0.098120124,-0.000128008
7.1974,0.05,13.9726,596.033,-0.096013227,-0.00020102
7.1974,0.06,13.9726,590.474,-0.093920646,-0.000289042
7.1974,0.07,13.9726,585.039,-0.091845588,-0.000394078
7.1974,0.08,13.9726,579.755,-0.089793425,-0.000515133
7.1974,0.09,13.9726,574.648,-0.087765116,-0.000652213
7.1974,0.1,13.9726,569.739,-0.085765971,-0.000806325
7.1974,0.11,13.9726,565.034,-0.083796913,-0.000976477
7.1974,0.12,13.9726,560.54,-0.081857771,-0.001163677
7.1974,0.13,13.9726,556.255,-0.079949462,-0.001367935
7.1974,0.14,13.9726,552.175,-0.078072899,-0.001588261
7.1974,0.15,13.9726,548.295,-0.07622791,-0.001825666
7.1974,0.16,13.9726,544.606,-0.07441325,-0.002081164
7.1974,0.17,13.9726,541.098,-0.072629834,-0.002352766
7.1974,0.18,13.9726,537.762,-0.070874283,-0.002642488
7.1974,0.19,13.9726,534.588,-0.069148598,-0.002949345
7.1974,0.2,13.9726,531.565,-0.06745049,-0.003273352
7.1974,0.21,13.9726,528.684,-0.065779825,-0.003616532
7.1974,0.22,13.9726,525.937,-0.064135402,-0.003976897
7.1974,0.23,13.9726,523.314,-0.062516034,-0.004355471
7.1974,0.24,13.9726,520.806,-0.060921603,-0.004752274
7.1974,0.25,13.9726,518.408,-0.059351994,-0.005167328
7.1974,0.26,13.9726,516.111,-0.057806035,-0.00560166
7.1974,0.27,13.9726,513.909,-0.056282562,-0.006055296
7.1974,0.28,13.9726,511.796,-0.054781476,-0.006527256
7.1974,0.29,13.9726,509.766,-0.05330268,-0.007018573
7.1974,0.3,13.9726,507.814,-0.051846079,-0.007529274
7.1974,0.31,13.9726,505.935,-0.050410526,-0.00805939
7.1974,0.32,13.9726,504.126,-0.048994885,-0.008608951
7.1974,0.33,13.9726,502.381,-0.047600123,-0.009178998
7.1974,0.34,13.9726,500.697,-0.046226154,-0.009768557
7.1974,0.35,13.9726,499.071,-0.044871851,-0.010378673
7.1974,0.36,13.9726,497.499,-0.043537136,-0.011009381
7.1974,0.37,13.9726,495.978,-0.042222975,-0.011660723
7.1974,0.38,13.9726,494.506,-0.040927208,-0.012331724
7.1974,0.39,13.9726,493.08,-0.039650806,-0.013024451
7.1974,0.4,13.9726,491.697,-0.038393695,-0.013737935
7.1974,0.41,13.9726,490.356,-0.037155807,-0.014473234
7.1974,0.42,13.9726,489.054,-0.03593707,-0.015229381
7.1974,0.43,13.9726,487.79,-0.034737418,-0.016007438
7.1974,0.44,13.9726,486.561,-0.033556784,-0.01680644
7.1974,0.45,13.9726,485.366,-0.032394068,-0.017627455
7.1974,0.46,13.9726,484.203,-0.031251274,-0.018470535
7.1974,0.47,13.9726,483.071,-0.030126273,-0.019335736
7.1974,0.48,13.9726,481.969,-0.029021067,-0.020223116
7.1974,0.49,13.9726,480.895,-0.027934562,-0.021133753
7.1974,0.5,13.9726,479.848,-0.026866699,-0.022065666
7.1974,0.51,13.9726,478.827,-0.025818446,-0.023019937
7.1974,0.52,13.9726,477.83,-0.024789742,-0.023997654
7.1974,0.53,13.9726,476.857,-0.023779505,-0.024997859
7.1974,0.54,13.9726,475.908,-0.022788701,-0.026020619
7.1974,0.55,13.9726,474.98,-0.021817275,-0.027066002
7.1974,0.56,13.9726,474.073,-0.020865172,-0.028135106
7.1974,0.57,13.9726,473.186,-0.019933356,-0.029226977
7.1974,0.58,13.9726,472.319,-0.019019734,-0.030341689
7.1974,0.59,13.9726,471.471,-0.018127311,-0.031479315
7.1974,0.6,13.9726,470.641,-0.017255015,-0.032639934
7.1974,0.61,13.9726,469.829,-0.016401777,-0.033823624
7.1974,0.62,13.9726,469.033,-0.015569579,-0.035030465
7.1974,0.63,13.9726,468.254,-0.014757356,-0.036260539
7.1974,0.64,13.9726,467.491,-0.013965059,-0.037512892
7.1974,0.65,13.9726,466.743,-0.013194668,-0.038788647
7.1974,0.66,13.9726,466.01,-0.012444108,-0.040086848
7.1974,0.67,13.9726,465.291,-0.011715358,-0.041407583
7.1974,0.68,13.9726,464.586,-0.011006348,-0.042750937
7.1974,0.69,13.9726,463.894,-0.010320069,-0.044115955
7.1974,0.7,13.9726,463.215,-0.009654455,-0.04550377
7.1974,0.71,13.9726,462.549,-0.009010473,-0.046913426
7.1974,0.72,13.9726,461.896,-0.008387073,-0.048343964
7.1974,0.73,13.9726,461.254,-0.007787242,-0.049795469
7.1974,0.74,13.9726,460.624,-0.007207915,-0.051269084
7.1974,0.75,13.9726,460.005,-0.006651069,-0.05276174
7.1974,0.76,13.9726,459.397,-0.006116669,-0.054274576
7.1974,0.77,13.9726,458.8,-0.005604677,-0.055807679
7.1974,0.78,13.9726,458.213,-0.005114055,-0.057359022
7.1974,0.79,13.9726,457.636,-0.00464678,-0.058928686
7.1974,0.8,13.9726,457.069,-0.004201815,-0.060516753
7.1974,0.81,13.9726,456.512,-0.003780136,-0.062121179
7.1974,0.82,13.9726,455.964,-0.003380708,-0.063742038
7.1974,0.83,13.9726,455.425,-0.003003506,-0.06537834
7.1974,0.84,13.9726,454.895,-0.002649507,-0.067029087
7.1974,0.85,13.9726,454.373,-0.002317684,-0.068692202
7.1974,0.86,13.9726,453.86,-0.002009017,-0.070368818
7.1974,0.87,13.9726,453.355,-0.001723484,-0.072056846
7.1974,0.88,13.9726,452.859,-0.001460065,-0.073754189
7.1974,0.89,13.9726,452.37,-0.001219744,-0.075459809
7.1974,0.9,13.9726,451.888,-0.001001501,-0.077172664
7.1974,0.91,13.9726,451.415,-0.000805324,-0.078890622
7.1974,0.92,13.9726,450.948,-0.000631199,-0.08061262
7.1974,0.93,13.9726,450.489,-0.000480115,-0.082335417
7.1974,0.94,13.9726,450.036,-0.000349061,-0.084059012
7.1974,0.95,13.9726,449.591,-0.000240029,-0.085779046
7.1974,0.96,13.9726,449.152,-0.000152012,-0.087494403
7.1974,0.97,13.9726,448.719,-8.5004e-05,-0.089202867
7.1974,0.98,13.9726,448.293,-3.7001e-05,-0.090900019
7.1974,0.99,13.9726,447.873,-9e-06,-0.092584697
7.1974,1.0,13.9726,447.459,0.0,-0.094253538
11.275,0.0,5.1742,371.5489,-0.116621461,0.0
11.275,0.01,5.1742,371.9058,-0.115134795,-9e-06
11.275,0.02,5.1742,372.2679,-0.113559592,-3.7001e-05
11.275,0.03,5.1742,372.6355,-0.111906337,-8.6004e-05
11.275,0.04,5.1742,373.0085,-0.110183237,-0.000157012
11.275,0.05,5.1742,373.387,-0.108400688,-0.000253032
11.275,0.06,5.1742,373.772,-0.106565686,-0.00037307
11.275,0.07,5.1742,374.163,-0.104685188,-0.000521136
11.275,0.08,5.1742,374.56,-0.102766106,-0.000695242
11.275,0.09,5.1742,374.964,-0.100815305,-0.000898403
11.275,0.1,5.1742,375.374,-0.098836289,-0.001130639
11.275,0.11,5.1742,375.79,-0.096836945,-0.00139297
11.275,0.12,5.1742,376.214,-0.0948207,-0.001684418
11.275,0.13,5.1742,376.645,-0.092790956,-0.002007013
11.275,0.14,5.1742,377.083,-0.090753278,-0.002359782
11.275,0.15,5.1742,377.529,-0.088711002,-0.002744763
11.275,0.16,5.1742,377.982,-0.086667436,-0.003159988
11.275,0.17,5.1742,378.444,-0.084624773,-0.003606496
11.275,0.18,5.1742,378.913,-0.082587359,-0.004085334
11.275,0.19,5.1742,379.391,-0.08055734,-0.004595543
11.275,0.2,5.1742,379.877,-0.07853576,-0.005137173
11.275,0.21,5.1742,380.372,-0.076526895,-0.005709267
11.275,0.22,5.1742,380.875,-0.074531754,-0.006313891
11.275,0.23,5.1742,381.388,-0.072552413,-0.006950096
11.275,0.24,5.1742,381.911,-0.07058986,-0.007615928
11.275,0.25,5.1742,382.443,-0.068647217,-0.008313461
11.275,0.26,5.1742,382.985,-0.066723306,-0.009042763
11.275,0.27,5.1742,383.537,-0.064822295,-0.009800872
11.275,0.28,5.1742,384.1,-0.062942995,-0.010590886
11.275,0.29,5.1742,384.674,-0.061087416,-0.011409845
11.275,0.3,5.1742,385.258,-0.059256496,-0.012258833
11.275,0.31,5.1742,385.855,-0.057451163,-0.013137926
11.275,0.32,5.1742,386.463,-0.055672342,-0.014046187
11.275,0.33,5.1742,387.083,-0.053919899,-0.014983697
11.275,0.34,5.1742,387.716,-0.052194753,-0.015950536
11.275,0.35,5.1742,388.363,-0.050497821,-0.016944755
11.275,0.36,5.1742,389.022,-0.048828965,-0.01796847
11.275,0.37,5.1742,389.696,-0.047189097,-0.019019734
11.275,0.38,5.1742,390.383,-0.045578078,-0.020098631
11.275,0.39,5.1742,391.086,-0.043996821,-0.021205251
11.275,0.4,5.1742,391.804,-0.042445186,-0.02233866
